id,gameset,name,raw_class,category,classification,industry,sellable,sale_index,output_quantity,output_unit,production_technology_pct
F - Hamburger,Food & Beverage,Hamburger,FOOD,Food,Retail Product,Manufacturing,True,24.0,25.0,unit,55.0
F - Kebab,Food & Beverage,Kebab,FOOD,Food,Retail Product,Manufacturing,True,20.0,10.0,pack,50.0
F - Chicken Kiev,Food & Beverage,Chicken Kiev,FOOD,Food,Retail Product,Manufacturing,True,25.0,2.0,unit,60.0
F - Oat Cereal,Food & Beverage,Oat Cereal,FOOD,Food,Retail Product,Manufacturing,True,14.0,2.0,can,75.0
F - Frozen Pizza,Food & Beverage,Frozen Pizza,FOOD,Food,Retail Product,Manufacturing,True,15.0,5.0,pack,55.0
F - Sliced Turkey Breast,Food & Beverage,Sliced Turkey Breast,FOOD,Food,Retail Product,Manufacturing,True,16.0,3.0,pack,50.0
F - Salad,Food & Beverage,Salad,FOOD,Food,Retail Product,Manufacturing,True,18.0,12.0,pack,65.0
F - Sandwich,Food & Beverage,Sandwich,FOOD,Food,Retail Product,Manufacturing,True,22.5,40.0,unit,50.0
F - Cheese Sausage,Food & Beverage,Cheese Sausage,FOOD,Food,Retail Product,Manufacturing,True,21.0,20.0,pack,50.0
F - TV Dinner,Food & Beverage,TV Dinner,FOOD,Food,Retail Product,Manufacturing,True,21.0,10.0,pack,60.0
F - Turkey Pot Pie,Food & Beverage,Turkey Pot Pie,FOOD,Food,Retail Product,Manufacturing,True,22.5,10.0,unit,50.0
F - Frozen Beef,Food & Beverage,Frozen Beef,LPRODUCT,,Livestock Product,Farming,True,15.0,,lb,
F - Frozen Chicken,Food & Beverage,Frozen Chicken,LPRODUCT,,Livestock Product,Farming,True,15.0,,lb,
F - Frozen Pork,Food & Beverage,Frozen Pork,LPRODUCT,,Livestock Product,Farming,True,15.0,,lb,
F - Frozen Turkey,Food & Beverage,Frozen Turkey,LPRODUCT,,Livestock Product,Farming,True,16.0,,lb,
F - Veal,Food & Beverage,Veal,LPRODUCT,,Livestock Product,Farming,True,18.0,,lb,
F - Egg,Food & Beverage,Egg,LSEMI,,Livestock Semi-Product,Farming,True,8.0,,dozen,
F - Milk,Food & Beverage,Milk,LSEMI,,Livestock Semi-Product,Farming,True,6.0,,quart,
F - Cattle,Food & Beverage,Cattle,LSTOCK,,Livestock,Farming,False,0.0,,unit,
F - Chicken,Food & Beverage,Chicken,LSTOCK,,Livestock,Farming,False,0.0,,unit,
F - Pig,Food & Beverage,Pig,LSTOCK,,Livestock,Farming,False,0.0,,unit,
F - Turkey,Food & Beverage,Turkey,LSTOCK,,Livestock,Farming,False,0.0,,unit,
F - Macaroni,Food & Beverage,Macaroni,PASTA,Pasta,Retail Product,Manufacturing,True,12.0,3.0,pack,70.0
F - Instant Noodles,Food & Beverage,Instant Noodles,PASTA,Pasta,Retail Product,Manufacturing,True,15.0,20.0,pack,70.0
F - Almond,Food & Beverage,Almond,PSEMI,,Plant Product,Farming,True,9.0,,lb,
F - Apple,Food & Beverage,Apple,PSEMI,,Plant Product,Farming,True,9.0,,lb,
F - Asparagus,Food & Beverage,Asparagus,PSEMI,,Plant Product,Farming,True,16.0,,lb,
F - Strawberry,Food & Beverage,Strawberry,PSEMI,,Plant Product,Farming,True,10.0,,lb,
F - Cabbage,Food & Beverage,Cabbage,PSEMI,,Plant Product,Farming,True,13.0,,lb,
F - Cocoa,Food & Beverage,Cocoa,PSEMI,,Plant Product,Farming,False,0.0,,lb,
F - Coffee,Food & Beverage,Coffee,PSEMI,,Plant Product,Farming,True,14.0,,lb,
F - Lemon,Food & Beverage,Lemon,PSEMI,,Plant Product,Farming,True,4.0,,lb,
F - Lettuce,Food & Beverage,Lettuce,PSEMI,,Plant Product,Farming,True,12.0,,lb,
F - Mushroom,Food & Beverage,Mushroom,PSEMI,,Plant Product,Farming,True,12.0,,lb,
F - Oats,Food & Beverage,Oats,PSEMI,,Plant Product,Farming,False,0.0,,lb,
F - Orange,Food & Beverage,Orange,PSEMI,,Plant Product,Farming,True,9.0,,lb,
F - Peanut,Food & Beverage,Peanut,PSEMI,,Plant Product,Farming,True,5.0,,lb,
F - Pepper,Food & Beverage,Pepper,PSEMI,,Plant Product,Farming,False,0.0,,lb,
F - Pineapple,Food & Beverage,Pineapple,PSEMI,,Plant Product,Farming,True,7.5,,lb,
F - Potato,Food & Beverage,Potato,PSEMI,,Plant Product,Farming,True,10.0,,lb,
F - Tea,Food & Beverage,Tea,PSEMI,,Plant Product,Farming,True,20.0,,lb,
F - Tomato,Food & Beverage,Tomato,PSEMI,,Plant Product,Farming,True,10.5,,lb,
F - Bread,Food & Beverage,Bread,SEMI,,Semi-Product,Manufacturing,True,10.5,1.0,lb,40.0
F - Hamburger Bun,Food & Beverage,Hamburger Bun,SEMI,,Semi-Product,Manufacturing,True,8.0,1.0,lb,40.0
F - Cheese,Food & Beverage,Cheese,SEMI,,Semi-Product,Manufacturing,True,24.0,1.0,lb,70.0
F - Chocolate,Food & Beverage,Chocolate,SEMI,,Semi-Product,Manufacturing,True,24.0,1.0,lb,50.0
F - Flour,Food & Beverage,Flour,SEMI,,Semi-Product,Manufacturing,True,2.5,1.0,lb,80.0
F - Peanut Butter,Food & Beverage,Peanut Butter,SEMI,,Semi-Product,Manufacturing,True,20.0,1.0,lb,70.0
F - Pectin,Food & Beverage,Pectin,SEMI,,Semi-Product,Manufacturing,False,0.0,3.0,lb,85.0
F - Peanut Oil,Food & Beverage,Peanut Oil,SEMI,,Semi-Product,Manufacturing,True,13.5,1.0,bottle,75.0
F - Almond Candy,Food & Beverage,Almond Candy,SNACK,Snacks,Retail Product,Manufacturing,True,14.0,20.0,pack,65.0
F - Peanut Butter Cookies,Food & Beverage,Peanut Butter Cookies,SNACK,Snacks,Retail Product,Manufacturing,True,21.0,4.0,bag,65.0
F - Jelly Beans,Food & Beverage,Jelly Beans,SNACK,Snacks,Retail Product,Manufacturing,True,24.0,3.0,pack,75.0
F - Apple Pancakes,Food & Beverage,Apple Pancakes,SNACK,Snacks,Retail Product,Manufacturing,True,20.0,17.0,unit,55.0
F - Potato Chips,Food & Beverage,Potato Chips,SNACK,Snacks,Retail Product,Manufacturing,True,20.0,6.0,pack,70.0
F - Toasted Almonds,Food & Beverage,Toasted Almonds,SNACK,Snacks,Retail Product,Manufacturing,True,15.0,3.0,pack,50.0
F - Toasted Peanuts,Food & Beverage,Toasted Peanuts,SNACK,Snacks,Retail Product,Manufacturing,True,16.0,4.0,jar,50.0
F - Black Pepper,Food & Beverage,Black Pepper,SPICE,Spice,Retail Product,Manufacturing,True,18.0,4.0,bottle,75.0
